Ticker,Weight
LNC,1.3592806931163584e-14
PFG,1.2802373540062675e-14
RCL,3.4323869121170837e-14
CRM,8.855595024976368e-14
AIG,1.1464540810812073e-14
STT,0.028071394010237217
SCHW,6.175369917719455e-13
NEE,0.1480351297368517
LLY,0.08427059795261428
PRU,8.53140385389223e-15
CB,0.061078246678802725
XLY,0.1251137674466646
LVS,1.095515277723753e-12
KMB,0.16508363926569544
COST,0.06634847848139835
BA,4.488437840987009e-06
PARNX,6.9581625004439686e-06
FDGRX,0.024050436459261734
FBGRX,0.26840287749924774
DG,0.029533985880891667
