Ticker,Beta,CAPM Predicted Return,Actual Return,Volatility,Sharpe Ratio,Type
WMT,0.5176181346201584,0.08233550282657316,0.11395030221168567,0.20000774161967466,0.4197352639045424,Stocks
MO,0.5937554118928301,0.09003361543778522,0.09709247887694872,0.21351933774141557,0.3142220259141195,Stocks
MRK,0.6028670531471808,0.09095487822733514,0.13418931444682114,0.20806856319467543,0.5007451046285083,Stocks
VWELX,0.6130204826722663,0.09198147448443782,0.09224804212874371,0.10699977242778533,0.5817586403817375,Mutual Funds
KO,0.6143760049232562,0.09211852906937855,0.08222052435585514,0.17492413868469558,0.29853240809711074,Stocks
SGENX,0.6193015500756557,0.09261654269178571,0.07502127945342285,0.11663240085899522,0.38601005485475787,Mutual Funds
BMY,0.6213031601484845,0.09281892213450191,0.052783749974783634,0.23763842654823422,0.09587569782262947,Stocks
XLU,0.6267787561589018,0.09337255047808894,0.09279980734344595,0.1841053349789202,0.34110802574317817,ETFs
XLP,0.6300369582434836,0.09370198183491787,0.0990220804013755,0.14149151387338182,0.48781780978852274,ETFs
PRWCX,0.6310618366611525,0.09380560557554311,0.11707316074344254,0.11197102407514439,0.7776401212960886,Mutual Funds
PFE,0.6436751689220865,0.09508091847909708,0.05050036058737817,0.2209801710881208,0.09277013628160868,Stocks
PEP,0.6455794013751331,0.09527345223373844,0.11137306827212967,0.17810742080086028,0.45687634971207575,Stocks
T,0.651774676272739,0.0958998461044883,0.045329076306889426,0.21514003614174676,0.07125162095254897,Stocks
LMT,0.6636422015862334,0.09709975171645954,0.18197309203314616,0.21469933921697418,0.7078414520855271,Stocks
USO,0.687947922873188,0.09955726249522848,-0.09536352210942312,0.37081880711466636,-0.33807217892985025,ETFs
MCD,0.6888169825138908,0.09964513166023724,0.12779526980951839,0.19238914883528233,0.5083200918636409,Stocks
FBALX,0.6967076244408316,0.1004429412523875,0.105240331694052,0.1202354067652255,0.6257751665527947,Mutual Funds
EWJ,0.7215783175377931,0.10295757538480643,0.07142810085618234,0.1704494464288092,0.24305212908676369,ETFs
COST,0.7278484727413831,0.10359154027790536,0.23876856971174276,0.2062346719309882,1.0122864781029761,Stocks
FAIRX,0.7396326380360597,0.10478301749796243,0.07661685285784992,0.2221324652345482,0.20986060190988964,Mutual Funds
TM,0.7404014783507908,0.10486075365474203,0.09693221421537057,0.21825482174740315,0.3066700367922889,Stocks
SWHGX,0.7437202659158206,0.10519631070804711,0.08946135582913106,0.13265744201451682,0.4482323413308705,Mutual Funds
VGHAX,0.7656883976630942,0.10741747172281266,0.12959357908683145,0.15563614872706194,0.6399128987796275,Mutual Funds
VTIAX,0.7740883966960762,0.10826678155902318,0.05700731848700746,0.15335111820404554,0.1761142585936161,Mutual Funds
