Ticker,Beta,CAPM Predicted Return,Sharpe Ratio,Actual Returns,Type,Composite Score 7.5 Years,Rank
BLK,1.4841230882981773,0.1780633550756714,0.046944600292605575,1.001535104573569,Stocks,0.6535371378737753,3.0
HON,1.2354033074135602,0.1531762086248426,0.04251810963457511,0.7403832709786324,Stocks,0.5181192223411563,16.0
PRNHX,1.1520304679746691,0.14483384012581402,0.046745633031903266,0.7363461809893235,Mutual Funds,0.4992048161811602,18.0
TRBCX,1.1202350257460307,0.14165235683406058,0.0486736111262307,0.7271677032665733,Mutual Funds,0.489778808119251,20.0
FDGRX,1.142465276696276,0.1438767376576111,0.044508089686420026,0.674238396506641,Mutual Funds,0.4778607811272553,23.0
FBGRX,1.12992229963314,0.14262167500843456,0.045677763694864,0.6756943622927103,Mutual Funds,0.4757676282902657,24.0
PRGFX,1.1030951010335353,0.13993731907164816,0.045910114045607145,0.6717085181176843,Mutual Funds,0.4685934339213262,25.0
VWUAX,1.0995101125252293,0.13957860158760482,0.0451391174343286,0.6496346750043747,Mutual Funds,0.46097185476184166,26.0
DODGX,1.0938219697194127,0.13900944041136826,0.045151673302194884,0.637956681610242,Mutual Funds,0.4561916768553459,27.0
MDT,0.9455265385138025,0.12417085338271958,0.04576133993734852,0.7445563926060133,Stocks,0.45495527381458156,28.0
VWNDX,1.096466938122123,0.13927409855702094,0.04395551814724159,0.6178747420417778,Mutual Funds,0.4504632144130236,29.0
VTSAX,1.0380064285597237,0.13342448234276233,0.04576573666541574,0.6103909209425404,Mutual Funds,0.4355161167467514,31.0
VFIAX,1.0011003509135685,0.12973162383332348,0.048191949680728416,0.6251002232201675,Mutual Funds,0.4322310305272769,32.0
IVV,0.9965229894555239,0.12927360853369765,0.048268354391971746,0.6250940083608154,ETFs,0.4312182911307667,33.0
FXAIX,1.0013010174599157,0.129751702725758,0.04772285182228557,0.618572963554886,Mutual Funds,0.4302007311954598,34.0
SPY,0.9917926425659865,0.1288002853609913,0.048216280664902564,0.6210343640173437,ETFs,0.4289229792248739,35.0
IWF,0.9977680286527271,0.12939818838306716,0.04709069348463159,0.6155069681001519,ETFs,0.4283279166275157,36.0
IWB,0.9960272936425817,0.12922400872202255,0.04762506399089341,0.6160855640213285,ETFs,0.4282433961131439,37.0
XLK,0.9473705043149401,0.12435536241847059,0.04796010257846132,0.6340008060756108,ETFs,0.4227532089349042,38.0
FCNTX,0.9775925560087867,0.12737941070234313,0.04593723568711215,0.5974793539195784,Mutual Funds,0.41809147897499466,39.0
