Ticker,Beta,CAPM Predicted Return,Sharpe Ratio,Actual Returns,Type,Composite Score 5 Years,Rank
AAL,1.3570859216712832,0.16535189095610245,0.0665604543943324,3.6686260467309966,Stocks,1.4250435128630756,1.0
DAL,1.2489286516253133,0.1545295678992781,0.07159624213552593,3.131810549811563,Stocks,1.241713681489045,2.0
ALK,1.168750125656708,0.1465068255548807,0.07360027948885545,2.3778263573739147,Stocks,0.9984793813011488,3.0
AVGO,1.2991908949546118,0.15955885751281204,0.05465102366935666,1.6133988459338973,Stocks,0.7921649113744609,4.0
MAR,1.3002917702794714,0.1596690121830053,0.06192097732928557,1.396286369878061,Stocks,0.7294543606546993,5.0
M,1.121420157058912,0.14177094224147058,0.06131503377402941,1.5199682767396538,Stocks,0.7270232130141815,6.0
LMT,0.7153528959174152,0.10113945181086609,0.09631249166717312,1.7303557197800385,Stocks,0.7112989329798198,7.0
PRHSX,1.073554002912945,0.13698140767356562,0.07597577228465825,1.3735361962005213,Mutual Funds,0.6769606726628559,8.0
TJX,0.7918256166501332,0.10879138763036324,0.07498194744422955,1.502460570604312,Stocks,0.6533561562706617,9.0
NKE,0.9174769909136559,0.12136418800000845,0.06361081376836211,1.378394026044092,Stocks,0.6403696877264691,10.0
DIS,1.1129381308571054,0.14092222233856083,0.062322597920908905,1.2070320155548058,Stocks,0.6315784546818477,11.0
SBUX,1.020263815666887,0.13164913900692515,0.05707821441358326,1.2353649842587093,Stocks,0.6181155505364502,12.0
NI,0.7256558325240645,0.10217037380384676,0.08259429902577387,1.4090961017427985,Stocks,0.613072361496154,13.0
AAPL,0.8158227030374525,0.11119255974940535,0.05683457724066647,1.305101961528384,Stocks,0.5939840141880868,14.0
ALL,1.0048132128537273,0.13010313645900926,0.06201498141488997,1.120023535865236,Stocks,0.5815948250465851,15.0
SRE,0.6954006732009491,0.09914301273795376,0.08450260200048183,1.3022040197277067,Stocks,0.5749207237062371,16.0
GD,1.0107358007948166,0.1306957564465855,0.06046173492048638,1.0918138805213355,Stocks,0.573968996080827,17.0
BMY,0.7086706554995628,0.10047082024763755,0.06839343678128425,1.2992036138269523,Stocks,0.572107410331911,18.0
ROST,0.7001920734580772,0.0996224449708046,0.06501065266366206,1.298728339732301,Stocks,0.5690846014045653,19.0
MSFT,0.8953899792091095,0.11915413983658063,0.05634327603416751,1.061882265282736,Stocks,0.5383764862042091,20.0
