Ticker,Weight
FXAIX,0.09999999999998879
SCHX,6.819773365977935e-16
VFIAX,0.02351728699479632
IWB,3.180810546661862e-13
DIS,1.0082465266041412e-13
VTI,3.036761370096538e-14
VWNDX,1.563957483120164e-14
DODGX,4.589376090380734e-16
VTSAX,3.6669982493269297e-14
AGTHX,8.872652948715775e-16
PRNHX,1.0875841592772357e-13
VIMAX,5.048584892210775e-14
FCNTX,0.09999999999979015
NKE,0.0764827130257685
JATTX,8.176315723651943e-14
VHCAX,0.0999999999992195
IWC,9.176309087931125e-14
FFIDX,1.821405417051141e-15
PARNX,1.9365966584293906e-13
IJH,2.3453709026930735e-14
IJR,6.36916364925575e-14
IWN,3.166253206398379e-14
XLY,1.7511695841917993e-13
VB,2.1812400953477425e-13
XLE,9.285091903899981e-15
XLF,1.5714734060424777e-16
V,0.09999999999963087
IWF,0.09999999999985122
SPG,6.716795524546682e-16
VSEQX,1.809496982218171e-14
GE,4.413424062144782e-16
POAGX,1.5668041729022126e-13
IWM,1.4208974594418973e-13
VUG,0.09999999999965563
VIGAX,0.09999999999947852
PRGFX,6.326341202903939e-13
JPM,0.09999999999960642
QQQ,0.09999999999960285
RYVPX,2.546527841367261e-13
VWUAX,2.0040043491900697e-13
