Ticker,Weight
LMT,0.06468646832265675
PRHSX,4.381070706400032e-13
NKE,0.021911140440238685
BLK,1.7951487053575765e-13
DIS,9.232408515462756e-06
WFC,0.04129783311260545
AAPL,0.04083016300913582
BMY,8.22957024505635e-14
POAGX,8.530474730712607e-14
AXP,0.004237550144519578
GOOGL,0.024260457711737276
MSFT,0.043858940501860094
UNH,3.107359747989787e-13
XLV,3.2313698193559885e-14
MO,0.15739049262290677
HON,5.943405742094018e-14
VGHAX,0.5150406928918595
PRNHX,5.7955835041304e-14
TRBCX,4.018637794029287e-14
QQQ,0.08647702883364647
