Ticker,Weight
AAL,3.444854654121358e-14
DAL,6.0623970178614365e-15
ALK,9.583698873058091e-14
AVGO,2.7441034800255715e-06
MAR,0.05807861644826109
M,0.07110345749057806
LMT,9.389146884644277e-06
PRHSX,0.2519722028512446
TJX,7.271247375553048e-06
NKE,1.3070688637606205e-06
DIS,0.13778290517619535
SBUX,1.4104814699375518e-14
NI,0.03322224692735096
AAPL,0.09870059569884823
ALL,0.03799594270279528
SRE,0.20950073699056315
GD,2.885057375589236e-06
BMY,0.029653560385110803
ROST,1.056689489396511e-06
MSFT,0.07196508201631047
