Ticker,Beta,CAPM Predicted Return,Actual Return,Volatility,Sharpe Ratio,Type
FLPSX,0.8016110417864701,0.11104955011673628,0.11166850021884311,0.14994705837629288,0.5446488987726296,Mutual Funds
EWT,0.8030388698264249,0.11119391541892136,0.11528957878745727,0.19537426730808805,0.43654458676977714,ETFs
XLV,0.8035576290925007,0.11124636629963855,0.13581970214789596,0.16327810120407543,0.6480948845407978,ETFs
VDIGX,0.8282766199441747,0.11374566207206577,0.12306484695185294,0.14854905824858516,0.626492338955904,Mutual Funds
IBM,0.8375390136796903,0.11468216719254737,0.035223677545693555,0.22878176215413656,0.022832578508483647,Stocks
IEFA,0.8385194315058255,0.11478129559721305,0.06686972743896336,0.1664082298868831,0.22156192313340362,ETFs
MDT,0.8399868868030189,0.11492966754502065,0.08173067545110024,0.22177604271916262,0.2332563734875879,Stocks
SCHF,0.8414871175465471,0.11508135336332385,0.06383511861809699,0.16476767752025934,0.20535046149410416,ETFs
EFA,0.8436435334229756,0.11529938496161572,0.06480006634567825,0.1669055061485958,0.20850160757845693,ETFs
SPDW,0.8447497358970273,0.11541123124140261,0.06365052072048893,0.1652044594176579,0.20369014758503665,ETFs
IYR,0.8517313372119978,0.11611712925948843,0.06133168006733847,0.19351582427061062,0.16190758655232534,ETFs
VWO,0.8587928148525722,0.1168311034391011,0.03370769498508608,0.1947655046255333,0.019036712852282003,ETFs
VNQ,0.8625531463407863,0.11721130425910269,0.06345370911970605,0.19848092556628416,0.16854873597681777,ETFs
VEIPX,0.8638889757582441,0.11734636773462115,0.11310100346569874,0.15655008084993802,0.5308269597468664,Mutual Funds
VIG,0.8720472503464581,0.11817123721699498,0.12544783940323367,0.15339167459460012,0.62224915175803,ETFs
VGSLX,0.8721179676930685,0.11817838732949273,0.0631444166158246,0.20023287403800236,0.16552934564348354,Mutual Funds
UNH,0.8753961501747493,0.11850983887081465,0.22242227248990454,0.24874420724313642,0.7735748889292537,Stocks
XOM,0.8799819515138432,0.11897350156516821,0.06394927653836668,0.2618811532527114,0.12963619610154284,Stocks
IEMG,0.8804681110255889,0.11902265633931423,0.033974972664507996,0.195613473169676,0.020320546433220826,ETFs
EEM,0.8976797151123783,0.12076289280725606,0.02505188390552493,0.20181331172455158,-0.024518284013041677,ETFs
RWMFX,0.8977361258835431,0.12076859640586726,0.13132502679500369,0.15783804472929142,0.6419556639135171,Mutual Funds
VGK,0.8982053306580781,0.12081603691492503,0.0690751648778054,0.18426982181776913,0.21205406556722134,ETFs
PRHSX,0.9141540388785951,0.12242858409657965,0.14772927006194814,0.19132357263669061,0.6153411649149337,Mutual Funds
DIA,0.9363893190326517,0.12467675603940817,0.12258301177573538,0.16577538481876897,0.5584846741689071,ETFs
EZU,0.9532524117909914,0.12638175511052163,0.06925193534387009,0.2007560693094665,0.19552054131605373,ETFs
ORCL,0.967335572412852,0.1278056798983835,0.15548748983464677,0.262909690752517,0.4773026413574502,Stocks
RPMGX,0.9707921361282084,0.12815516726753842,0.1275869844735784,0.17506226874017622,0.5574415616560698,Mutual Funds
CSCO,0.9758034202876993,0.1286618498173804,0.12288006250859396,0.24591693963341013,0.37768875396323176,Stocks
HON,0.9802914586837889,0.12911562786427336,0.14176382302379098,0.21801957444980097,0.5126320574922717,Stocks
VPCCX,0.9828448841042335,0.12937380043275803,0.14853732174764867,0.17258892404608459,0.6868188234141659,Mutual Funds
DFELX,0.9858382535192207,0.12967645500183336,0.13941551113446482,0.1693232950170017,0.6461929005307773,Mutual Funds
SPY,0.9877901674218724,0.12987380974800047,0.14401177504942853,0.16769440750221143,0.6798782186455742,ETFs
XLI,0.9923295787086693,0.13033278202184762,0.1313695519499516,0.18811415238552165,0.5388725444867357,ETFs
VOO,0.997473558118104,0.13085288116620983,0.14427112078067705,0.16932870370456962,0.6748479039917983,ETFs
SWPPX,0.9983280774311435,0.1309392801830367,0.14455263184250478,0.16949396188995955,0.6758508124134576,Mutual Funds
IVV,0.9991383496371914,0.1310212054489686,0.1441710500945661,0.16961409860117008,0.673122405720691,ETFs
SBUX,0.9991531666605151,0.13102270357338536,0.13418681679218025,0.25876447741891023,0.40263183660836743,Stocks
